,mean
ResidualNeuralNetwork,0.8994955
MultiLayerNeuralNetwork,0.91185856
GradientBoostingClassifier,0.9223959
RandomForestClassifier,0.9190429
SVC,0.9119481
LogisticRegression,0.9176222
