,mean
ResidualNeuralNetwork,1.3575245e-06
MultiLayerNeuralNetwork,1.8268138e-06
GradientBoostingClassifier,9.150064e-07
RandomForestClassifier,5.244684e-07
SVC,5.1744576e-07
LogisticRegression,9.094872e-08
