,ResidualNeuralNetwork,MultiLayerNeuralNetwork,GradientBoostingClassifier,RandomForestClassifier,SVC,LogisticRegression,total
ResidualNeuralNetwork,0.0,1.0,0.0,3.0,2.0,3.0,9.0
MultiLayerNeuralNetwork,1.0,0.0,3.0,3.0,1.0,3.0,11.0
GradientBoostingClassifier,0.0,3.0,0.0,1.0,2.0,3.0,9.0
RandomForestClassifier,3.0,3.0,1.0,0.0,2.0,0.0,9.0
SVC,2.0,1.0,2.0,2.0,0.0,3.0,10.0
LogisticRegression,3.0,3.0,3.0,0.0,3.0,0.0,12.0
